1,1,0
1,2,15.823
1,3,11.138
1,4,0
1,5,7.4176
1,6,0.81684
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
1,14,4.5723
1,15,0
1,16,0
1,17,8.5826
2,1,9.3503
2,2,0
2,3,0
2,4,0
2,5,0
2,6,0
2,7,0
2,8,0
2,9,18.706
2,10,0
2,11,0
2,12,4.7214
2,13,0
2,14,0
2,15,0
2,16,23.269
2,17,23.897
3,1,7.5046
3,2,0
3,3,0
3,4,0
3,5,0.14413
3,6,1.1517
3,7,0
3,8,0
3,9,0
3,10,0
3,11,0
3,12,0
3,13,0
3,14,0
3,15,0
3,16,0
3,17,0
4,1,0
4,2,0
4,3,0
4,4,0
4,5,0.18096
4,6,0
4,7,0
4,8,0
4,9,0
4,10,0
4,11,0
4,12,0
4,13,0
4,14,0.11929
4,15,0
4,16,0
4,17,0
5,1,9.6908
5,2,0
5,3,0.021326
5,4,0.089659
5,5,0
5,6,0
5,7,0
5,8,0
5,9,0
5,10,0
5,11,0
5,12,0
5,13,0
5,14,0
5,15,0
5,16,0
5,17,0
6,1,1.0874
6,2,0
6,3,0.59253
6,4,0
6,5,0
6,6,0
6,7,0
6,8,0
6,9,0
6,10,0
6,11,0
6,12,0
6,13,0
6,14,0
6,15,0
6,16,0
6,17,23.986
7,1,0
7,2,0
7,3,0
7,4,0
7,5,0
7,6,0
7,7,0
7,8,0.064516
7,9,15.581
7,10,0
7,11,0
7,12,0
7,13,0
7,14,0
7,15,0
7,16,0
7,17,0
8,1,0
8,2,0
8,3,0
8,4,0
8,5,0
8,6,0
8,7,0.061923
8,8,0
8,9,0
8,10,0.20525
8,11,0
8,12,0
8,13,0
8,14,0
8,15,0
8,16,0
8,17,0
9,1,0
9,2,27.937
9,3,0
9,4,0
9,5,0
9,6,0
9,7,19.289
9,8,0
9,9,0
9,10,8.5848
9,11,0
9,12,0
9,13,0
9,14,0
9,15,0
9,16,0
9,17,10.349
10,1,0
10,2,0
10,3,0
10,4,0
10,5,0
10,6,0
10,7,0
10,8,0.10038
10,9,10.353
10,10,0
10,11,0.30863
10,12,0
10,13,0
10,14,0
10,15,0
10,16,0
10,17,0
11,1,0
11,2,0
11,3,0
11,4,0
11,5,0
11,6,0
11,7,0
11,8,0
11,9,0
11,10,3.0163
11,11,0
11,12,1.8111
11,13,0
11,14,0
11,15,0
11,16,0
11,17,0
12,1,0
12,2,9.2656
12,3,0
12,4,0
12,5,0
12,6,0
12,7,0
12,8,0
12,9,0
12,10,0
12,11,6.3732
12,12,0
12,13,0
12,14,0
12,15,0
12,16,0
12,17,0
13,1,0
13,2,0
13,3,0
13,4,0
13,5,0
13,6,0
13,7,0
13,8,0
13,9,0
13,10,0
13,11,0
13,12,0
13,13,0
13,14,1.1765
13,15,2.9647
13,16,0
13,17,0
14,1,9.1373
14,2,0
14,3,0
14,4,0.22375
14,5,0
14,6,0
14,7,0
14,8,0
14,9,0
14,10,0
14,11,0
14,12,0
14,13,0.43365
14,14,0
14,15,0
14,16,14.414
14,17,0
15,1,0
15,2,0
15,3,0
15,4,0
15,5,0
15,6,0
15,7,0
15,8,0
15,9,0
15,10,0
15,11,0
15,12,0
15,13,2.1157
15,14,0
15,15,0
15,16,3.4675
15,17,0
16,1,0
16,2,42.39
16,3,0
16,4,0
16,5,0
16,6,0
16,7,0
16,8,0
16,9,0
16,10,0
16,11,0
16,12,0
16,13,0
16,14,7.2413
16,15,2.8087
16,16,0
16,17,0
17,1,3.0159
17,2,27.595
17,3,0
17,4,0
17,5,0
17,6,11.118
17,7,0
17,8,0
17,9,11.538
17,10,0
17,11,0
17,12,0
17,13,0
17,14,0
17,15,0
17,16,0
17,17,0
